start run api module
[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] POST   /user/login               --> gochat/api/handler.Login (4 handlers)
[GIN-debug] POST   /user/register            --> gochat/api/handler.Register (4 handlers)
[GIN-debug] POST   /user/checkAuth           --> gochat/api/handler.CheckAuth (5 handlers)
[GIN-debug] POST   /user/logout              --> gochat/api/handler.Logout (5 handlers)
[GIN-debug] POST   /push/push                --> gochat/api/handler.Push (5 handlers)
[GIN-debug] POST   /push/pushRoom            --> gochat/api/handler.PushRoom (5 handlers)
[GIN-debug] POST   /push/count               --> gochat/api/handler.Count (5 handlers)
[GIN-debug] POST   /push/getRoomInfo         --> gochat/api/handler.GetRoomInfo (5 handlers)
time="2023-07-22T19:34:02+08:00" level=info msg="server start , now run mode is debug" func="gochat/api.(*Chat).Run" file="/Users/hushuang/project/gochat/api/chat.go:35"
[GIN] 2023/07/22 - 19:34:06 | 200 |    3.618042ms |       127.0.0.1 | POST     "/user/login"
[GIN] 2023/07/22 - 19:34:06 | 200 |   18.792647ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   19.169949ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |    20.60866ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |    19.70946ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   19.597656ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   14.465482ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   20.911111ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   12.759963ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   22.074653ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   17.722611ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |    20.26794ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   23.776947ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   23.493169ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |    24.13489ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   23.524405ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   23.956094ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   21.808629ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   20.827305ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   18.168451ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |    23.25057ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |    23.38911ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |    20.07659ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   23.332151ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   24.078093ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   21.440279ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   27.451965ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |    28.19762ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   22.679476ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   27.458899ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   27.474118ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   26.023895ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   21.390889ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   24.658123ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   24.048486ms |       127.0.0.1 | POST     "/push/pushRoom"
